file,$Unique,name,$Subtitle,$CardClass,$CardClass2,$CardClass3,$ResourceCost,$Level,$Slot,$Slot2,$Stamina,$Sanity,$Skill1,$Skill2,$Skill3,$Skill4,$Skill5,$Skill6,$Copyright,$Traits,$Rules,$Flavor,$Victory,portSource,portScale,portX,portY,$Artist,$Collection,$CollectionNumber
證據！ [Guardian][event],,證據！,,Guardian,None,None,1,0,None,None,None,None,Intellect,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,"快速。在你擊敗一名敵人後打出。
發現你所在地點的1個線索。","
跟我想的一樣！",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01022.png,1.25,0,118,Mark Behm,CoreSet,22
閃躲 [Guardian][event],,閃躲,,Guardian,None,None,1,0,None,None,None,None,Agility,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",策略.,"快速。在一名敵人攻擊你所在地點的一位調查員時打出。
取消那次攻擊。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01023.png,1.25,0,118,Dane Cozens,CoreSet,23
炸藥爆破 [Guardian][event],,炸藥爆破,,Guardian,None,None,5,0,None,None,None,None,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",策略.,選擇你的地點或一個連接的地點。對所選地點的每名敵人和調查員各造成3點傷害。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01024.png,1.25,0,118,Dimitri Bielak,CoreSet,24
多餘的彈藥 (1) [Guardian][event],,多餘的彈藥,,Guardian,None,None,2,1,None,None,None,None,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",供給.,在你所在地點的一位調查員的一張<b><i>槍械</i></b>支援卡上，放置3個子彈標記。,"
能扛過我子彈的怪物，我還從來沒見過哩。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01026.png,1.25,0,118,Michael J. Williams,CoreSet,26
心勝於物 [Seeker][event],,心勝於物,,Seeker,None,None,1,0,None,None,None,None,Agility,Combat,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,"快速。只能在你回合期間打出。
直到本輪結束，你可以使用<int>來代替<com>和<agi>。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01036.png,1.25,0,118,Maggie Ivy,CoreSet,36
專業的直覺 [Seeker][event],,專業的直覺,,Seeker,None,None,2,0,None,None,None,None,Intellect,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,"快速。只能在你回合期間打出。
發現你所在地點的1個線索。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01037.png,1.25,0,118,Maggie Ivy,CoreSet,37
屏障 [Seeker][event],,屏障,,Seeker,None,None,0,0,None,None,None,None,Agility,Intellect,Willpower,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察. 策略.,"疊加到你所在地點。
非<b><i>精英</i></b>敵人不能移動到疊加地點。
<b>強制</b> - 在一位調查員離開疊加地點時：丟棄屏障。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01038.png,1.25,0,118,Stephen Somers,CoreSet,38
隱密的研究 (4) [Seeker][event],,隱密的研究,,Seeker,None,None,0,4,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,"快速。只能在你回合期間打出。
選擇你所在地點的一名調查員，該調查員抽取3張卡牌。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01043.png,1.25,0,118,Tomasz Jedruszek,CoreSet,43
逃避隱藏 [Rogue][event],,逃避隱藏,,Rogue,None,None,2,0,None,None,None,None,Agility,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",策略.,"快速。只能在你回合期間打出。
所有與你交戰的敵人解除交戰狀態，你移動到一個沒有敵人的已揭示地點。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01050.png,1.25,0,118,Adam Schumpert,CoreSet,50
背刺 [Rogue][event],,背刺,,Rogue,None,None,3,0,None,None,None,None,Agility,Combat,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",策略.,<b>攻擊</b>。這次攻擊不使用<com>，改為使用<agi>。這次攻擊造成+2傷害。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01051.png,1.25,0,118,Federico Piatti,CoreSet,51
偷襲 [Rogue][event],,偷襲,,Rogue,None,None,2,0,None,None,None,None,Combat,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",策略.,對你所在地點的一名消耗敵人造成2點傷害。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01052.png,1.25,0,118,Stanislav Dikolenko,CoreSet,52
老千手法 (3) [Rogue][event],,老千手法,,Rogue,None,None,2,3,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",幸運. 洞察.,"快速。在你抽出一個負數修正值的混亂標記後打出。
將該標記的""–""變為""+""。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01056.png,1.25,0,118,Sara Biddle,CoreSet,56
百戰百勝 (4) [Rogue][event],,百戰百勝,,Rogue,None,None,3,4,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",幸運.,獲得10個資源。,"
""我又贏囉！親愛的真是抱歉，你今晚只是運氣有點差。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01057.png,1.25,0,118,Sara Biddle,CoreSet,57
