file,$Unique,name,$Subtitle,$CardClass,$CardClass2,$CardClass3,$ResourceCost,$Level,$Slot,$Slot2,$Stamina,$Sanity,$Skill1,$Skill2,$Skill3,$Skill4,$Skill5,$Skill6,$Copyright,$Traits,$Rules,$Flavor,$Victory,portSource,portScale,portX,portY,$Artist,$Collection,$CollectionNumber
點45自動手槍 [Guardian][asset],,.45自動手槍,,Guardian,None,None,4,0,1 Hand,None,None,None,Agility,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 武器. 槍械.,"使用(4子彈)。
<act>花費1子彈：<b>攻擊</b>。這次攻擊期間你+1<com>。這次攻擊造成+1傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01016.png,1.25,0,90,John Pacer,CoreSet,16
體能訓練 [Guardian][asset],,體能訓練,,Guardian,None,None,2,0,None,None,None,None,Combat,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能.,"<fre>花費1資源：這次技能檢定期間你+1<wil>。
<fre>花費1資源：這次技能檢定期間你+1<com>。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01017.png,1.25,0,90,Lake Hurwitz,CoreSet,17
巡警 [Guardian][asset],,巡警,,Guardian,None,None,4,0,Ally,None,2,2,Combat,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友. 警察.,"你獲得+1<com>。
<fre>丟棄巡警：對你所在地點的一名敵人造成1點傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01018.png,1.25,0,90,Nicholas Elias,CoreSet,18
急救 [Guardian][asset],,急救,,Guardian,None,None,2,0,None,None,None,None,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能. 科學.,"使用(3補給)。如果急救沒有補給，則將其丟棄。
<act>花費1補給：對你所在地點的一位調查員，治癒1點傷害或恐懼。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01019.png,1.25,0,90,Sara Biddle,CoreSet,19
大砍刀 [Guardian][asset],,大砍刀,,Guardian,None,None,3,0,1 Hand,None,None,None,Combat,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 武器. 近戰.,<act>：<b>攻擊</b>。這次攻擊期間你+1<com>。如果被攻擊敵人是與你交戰的唯一一名敵人，則這次攻擊造成+1傷害。,"
快速切開藤蔓、樹叢、觸手，省時省力。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01020.png,1.25,0,90,Jason Caffoe,CoreSet,20
看門狗 [Guardian][asset],,看門狗,,Guardian,None,None,3,0,Ally,None,3,1,Combat,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友. 生物.,<rea>在一名敵人攻擊並對看門狗造成傷害時：對攻擊敵人造成1點傷害。,"
極度忠誠的小狗，冒險好伴侶。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01021.png,1.25,0,90,Stephen Somers,CoreSet,21
警徽 (2) [Guardian][asset],,警徽,,Guardian,None,None,3,2,Accessory,None,None,None,Willpower,Wild,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具.,"你獲得+1<wil>。
<fre>你所在地點的一位調查員進行其回合時，丟棄警徽：該調查員可以在其回合額外進行2個行動。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01027.png,1.25,0,90,Stanislav Dikolenko,CoreSet,27
巡警 (2) [Guardian][asset],,巡警,,Guardian,None,None,4,2,Ally,None,3,2,Agility,Combat,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友. 警察.,"你獲得+1<com>。
<fre>消耗巡警並對其造成1點傷害：對你所在地點的一名敵人造成1點傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01028.png,1.25,0,90,Nicholas Elias,CoreSet,28
霰彈槍 (4) [Guardian][asset],,霰彈槍,,Guardian,None,None,5,4,2 Hands,None,None,None,Combat,Combat,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 武器. 槍械.,"使用(2子彈)。
<act>花費1子彈：<b>攻擊</b>。這次攻擊期間你+3<com>。攻擊成功時使用下列方式代替普通傷害結算，你每超過難度1點，對敵人造成1點傷害(最小為1，最大為5)。攻擊失敗並要對另一位調查員造成傷害時使用下列方式代替普通傷害結算，你每低於難度1點，對另一位調查員造成1點傷害(最小為1，最大為5)。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01029.png,1.25,0,90,Tony Foti,CoreSet,29
放大鏡 [Seeker][asset],,放大鏡,,Seeker,None,None,1,0,1 Hand,None,None,None,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 工具.,"快速。
你在調查時獲得+1<int>。","
清清楚楚的世界，有時候不一定是你想看到的。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01030.png,1.25,0,90,German Nobile,CoreSet,30
智慧古書 [Seeker][asset],,智慧古書,,Seeker,None,None,3,0,1 Hand,None,None,None,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 書籍.,<act>消耗智慧古書：選擇你所在地點的一位調查員。那位調查員在其牌堆頂部3張卡牌中查找並抽取1張卡牌，並將剩餘卡牌與其牌堆混洗。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01031.png,1.25,0,90,Dimitri Bielak,CoreSet,31
研究館員 [Seeker][asset],,研究館員,,Seeker,None,None,2,0,Ally,None,1,1,Agility,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友. 米斯卡塔尼克.,<rea>在研究館員入場後：查找你牌堆中的一張<b><i>書籍</i></b>支援卡，並加入你的手牌。混洗你的牌堆。,"
""阿米蒂奇的身體狀況越來越差，前幾年還發生了不少奇怪的事情，我們應該都清楚，奧恩圖書館裡肯定有什麼不可告人的秘密。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01032.png,1.25,0,90,Tomasz Jedruszek,CoreSet,32
米蘭·克里斯托弗博士 [Seeker][asset],1,米蘭·克里斯托弗博士,昆蟲學教授,Seeker,None,None,4,0,Ally,None,1,2,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友. 米斯卡塔尼克.,"你獲得+1<int>。
<rea>在你成功調查後：獲得1個資源。","
""如果這破地方怪物沒那麼多該有多好！不過這樣一來，就能得到新品種生物的標本了吧。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01033.png,1.25,0,90,Anthony Devine,CoreSet,33
超感知 [Seeker][asset],,超感知,,Seeker,None,None,2,0,None,None,None,None,Agility,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能.,"<fre>花費1資源：這次技能檢定期間你+1<int>。
<fre>花費1資源：這次技能檢定期間你+1<agi>。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01034.png,1.25,0,90,Aurore Folny,CoreSet,34
醫學教科書 [Seeker][asset],,醫學教科書,,Seeker,None,None,2,0,1 Hand,None,None,None,Combat,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 書籍.,<act>：選擇你所在地點的一位調查員並檢定<int>(2)。如果成功，治癒該調查員1點傷害。如果失敗，對該調查員造成1點傷害。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01035.png,1.25,0,90,Anna Christenson,CoreSet,35
